"RID","Easy_Reservation","Preferred_Seats","Flight_Options","Ticket_Prices","Seat_Comfort","Seat_Roominess","Overhead_Storage","Clean_Aircraft","Courtesy","Friendliness","Helpfulness","Service","Satisfaction","Recommend","Language","Smoker","Employment","Education","Marital","Sex","Age","Income","FlyAgain","FlyAgain2","Easy_Reservation.1","Preferred_Seats.1","Flight_Options.1","Ticket_Prices.1","Seat_Comfort.1","Seat_Roominess.1","Overhead_Storage.1","Clean_Aircraft.1","Courtesy.1","Friendliness.1","Helpfulness.1","Service.1"
1576,9,7,8,8,9,5,9,9,9,7,9,8,8,8,"English","No","Employed part-time","High school diploma or certificate","Married","Male","65 to 74","$60000 to $69999",1,"Yes","Strongly Agree","7","8","8","Strongly Agree","5","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","8"
1577,7,4,4,4,9,9,8,7,9,9,9,8,7,5,"French","No","Fully employed","College diploma","Living common law","Male","35 to 44","$70000 to $79999",0,"No","7","4","4","4","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","8"
1578,7,8,7,8,9,8,9,8,8,8,7,9,9,6,"English",NA,"Employed part-time","College diploma","Living common law","Male","85 to 94","$70000 to $79999",1,"Yes","7","8","7","8","Strongly Agree","8","Strongly Agree","8","8","8","7","Strongly Agree"
1579,7,9,9,6,9,8,9,9,9,9,9,9,9,7,"English","No","Employed part-time","High school diploma or certificate","Married","Female","75 to 84","$20000 to $29999",1,"Yes","7","Strongly Agree","Strongly Agree","6","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1580,8,5,8,7,9,9,9,9,9,7,8,6,8,9,"English","Yes","Not employed","Bachelor's degree","Single, never married, not living with a life partner","Female","65 to 74","$20000 to $29999",1,"Yes","8","5","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","8","6"
1581,9,7,6,8,9,7,8,9,9,9,8,8,8,8,"English",NA,"Not employed","trades certificate","Married","Female","24 or younger","$70000 to $79999",1,"Yes","Strongly Agree","7","6","8","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","8","8"
1582,9,9,8,9,9,9,9,9,6,9,9,8,8,9,"English","No","Fully employed","High school diploma or certificate","Separated, not living with a life partner","Male","35 to 44","$175,000 to $199,999,",1,"Yes","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","Strongly Agree","Strongly Agree","8"
1583,9,9,9,7,8,5,3,5,9,9,8,6,9,7,"English","No","Fully employed","Bachelor's degree","Married","Male","55 to 64","$60000 to $69999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","8","5","3","5","Strongly Agree","Strongly Agree","8","6"
1584,7,6,6,9,6,7,4,8,9,9,9,9,9,5,"English","No","Employed part-time","trades certificate","Married","Male","55 to 64","$20000 to $29999",1,"Yes","7","6","6","Strongly Agree","6","7","4","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1585,8,6,6,7,9,9,7,9,9,7,5,8,9,6,"English","No","Not employed","trades certificate","Living common law","Male","75 to 84","$90000 to $99999",0,"No","8","6","6","7","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","7","5","8"
1586,7,7,5,6,9,7,9,8,8,9,8,9,8,9,"English","No","Fully employed","High school diploma or certificate","Married","Male","65 to 74","$80000 to $89999",1,"Yes","7","7","5","6","Strongly Agree","7","Strongly Agree","8","8","Strongly Agree","8","Strongly Agree"
1587,8,7,7,5,6,8,6,9,9,9,9,9,7,6,"Spanish","No","Employed part-time","Master's degree","Living common law","Male","65 to 74","$30000 to $39999",0,"No","8","7","7","5","6","8","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1588,8,5,6,7,7,7,6,5,5,8,6,7,5,7,"English","No","Not employed","College diploma","Widowed","Female","55 to 64","$70000 to $79999",0,"No","8","5","6","7","7","7","6","5","5","8","6","7"
1589,7,6,6,5,9,8,9,8,9,7,9,8,9,8,"English",NA,"Fully employed","Bachelor's degree",NA,"Male","35 to 44","$30000 to $39999",0,"No","7","6","6","5","Strongly Agree","8","Strongly Agree","8","Strongly Agree","7","Strongly Agree","8"
1590,9,9,7,6,6,7,8,5,8,6,9,7,9,9,"English","No","Not employed","Bachelor's degree","Single, never married, not living with a life partner","Male","55 to 64","$100000 to $149999",0,"No","Strongly Agree","Strongly Agree","7","6","6","7","8","5","8","6","Strongly Agree","7"
1591,9,6,6,5,9,7,9,9,8,9,8,9,9,8,"English","No","Fully employed","High school diploma or certificate","Married","Male","25 to 34","$80000 to $89999",1,"Yes","Strongly Agree","6","6","5","Strongly Agree","7","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree"
1592,9,8,6,5,9,9,9,9,7,9,9,9,9,6,"Spanish","No",NA,"High school diploma or certificate","Married","Male","45 to 54","$30000 to $39999",0,"No","Strongly Agree","8","6","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree"
1593,6,7,8,6,9,8,7,9,9,9,8,9,8,7,"Spanish","Yes","Fully employed","Bachelor's degree","Single, never married, not living with a life partner","Male","75 to 84","$50000 to $59999",1,"Yes","6","7","8","6","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree"
1594,8,7,9,7,9,7,8,9,9,9,9,9,9,8,"English","No","Fully employed","No certificate, diploma or degree","Divorced, not living with a life partner","Male","35 to 44","$20000 to $29999",1,"Yes","8","7","Strongly Agree","7","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1595,8,7,6,7,6,5,7,5,9,8,9,8,8,7,"Italian","No","Employed part-time","University certificate below bachelor level","Living common law","Female","55 to 64","$60000 to $69999",1,"Yes","8","7","6","7","6","5","7","5","Strongly Agree","8","Strongly Agree","8"
1596,9,8,8,7,9,5,5,9,8,9,8,8,8,1,"English","Yes","Not employed","College diploma","Married","Female",NA,"$40000 to $49999",0,"No","Strongly Agree","8","8","7","Strongly Agree","5","5","Strongly Agree","8","Strongly Agree","8","8"
1597,6,8,8,7,8,8,6,9,9,7,9,9,8,8,NA,"No","Fully employed","No certificate, diploma or degree","Married","Female","35 to 44","$50000 to $59999",0,"No","6","8","8","7","8","8","6","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree"
1598,9,8,8,6,9,9,6,9,9,9,9,9,9,7,"English","No","Employed part-time","trades certificate","Married","Female","24 or younger","$50000 to $59999",1,"Yes","Strongly Agree","8","8","6","Strongly Agree","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1599,9,6,4,6,6,8,4,7,9,9,9,9,7,7,"English","Yes","Fully employed","Master's degree","Separated, not living with a life partner","Male","45 to 54","$40000 to $49999",1,"Yes","Strongly Agree","6","4","6","6","8","4","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1600,7,7,6,7,9,8,6,8,9,7,8,8,7,7,"English","No","Not employed","Master's degree","Living common law","Female",NA,NA,1,"Yes","7","7","6","7","Strongly Agree","8","6","8","Strongly Agree","7","8","8"
1601,7,5,6,8,8,6,6,9,7,9,9,8,8,9,"English","Yes","Not employed","High school diploma or certificate","Married","Male",NA,"$60000 to $69999",1,"Yes","7","5","6","8","8","6","6","Strongly Agree","7","Strongly Agree","Strongly Agree","8"
1602,9,9,8,9,8,9,9,9,9,9,9,9,8,9,"English","No","Employed part-time",NA,"Living common law","Male",NA,"$80000 to $89999",1,"Yes","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1603,9,8,7,6,8,8,8,8,9,9,9,9,8,6,"French","No","Employed part-time","College diploma","Married","Female","75 to 84",NA,0,"No","Strongly Agree","8","7","6","8","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1604,9,7,8,6,7,9,7,8,9,9,9,8,7,9,"Spanish",NA,"Employed part-time","No certificate, diploma or degree","Divorced, not living with a life partner","Female","75 to 84","$90000 to $99999",0,"No","Strongly Agree","7","8","6","7","Strongly Agree","7","8","Strongly Agree","Strongly Agree","Strongly Agree","8"
1605,9,7,3,6,9,8,9,9,9,7,9,9,8,9,"English","No","Not employed","Master's degree","Divorced, not living with a life partner","Male","25 to 34","$80000 to $89999",1,"Yes","Strongly Agree","7","3","6","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree"
1606,6,5,8,6,6,7,5,9,9,9,9,9,9,5,"English","No",NA,"No certificate, diploma or degree",NA,"Male","65 to 74","$30000 to $39999",1,"Yes","6","5","8","6","6","7","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1607,9,8,6,9,9,9,9,9,9,9,9,9,6,9,"English","No","Fully employed","High school diploma or certificate","Living common law","Female","55 to 64","$20000 to $29999",1,"Yes","Strongly Agree","8","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1608,8,4,3,5,8,9,8,8,9,9,8,7,9,8,"Spanish","No","Fully employed","Bachelor's degree","Married","Female","65 to 74","$200,000 or more",1,"Yes","8","4","3","5","8","Strongly Agree","8","8","Strongly Agree","Strongly Agree","8","7"
1609,9,4,6,7,6,8,5,9,9,9,9,9,9,4,"Spanish",NA,"Fully employed","High school diploma or certificate","Single, never married, not living with a life partner","Female","55 to 64","$200,000 or more",1,"Yes","Strongly Agree","4","6","7","6","8","5","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1610,8,7,8,6,9,9,7,9,9,9,9,8,8,9,"English","No","Not employed","Bachelor's degree","Married","Male","85 to 94","$40000 to $49999",1,"Yes","8","7","8","6","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
1611,7,9,7,6,8,6,7,8,9,7,7,4,8,7,"Spanish","No","Fully employed","University certificate below bachelor level","Divorced, not living with a life partner","Male","65 to 74","$40000 to $49999",0,"No","7","Strongly Agree","7","6","8","6","7","8","Strongly Agree","7","7","4"
1612,9,9,9,9,9,9,8,9,9,9,9,9,8,8,"French","No","Employed part-time","Bachelor's degree","Living common law","Male","75 to 84","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1613,9,6,8,9,5,6,4,7,8,9,9,9,6,4,"English","No","Not employed","Bachelor's degree","Living common law","Male","45 to 54","$50000 to $59999",1,"Yes","Strongly Agree","6","8","Strongly Agree","5","6","4","7","8","Strongly Agree","Strongly Agree","Strongly Agree"
1614,9,8,8,8,8,8,8,8,9,9,9,9,9,8,"Spanish","No","Fully employed","University certificate below bachelor level","Separated, not living with a life partner","Female","85 to 94","$20000 to $29999",1,"Yes","Strongly Agree","8","8","8","8","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1615,6,5,2,3,6,7,5,8,9,9,8,7,8,6,"English","No","Employed part-time","College diploma","Divorced, not living with a life partner","Female","75 to 84","$60000 to $69999",0,"No","6","5","2","3","6","7","5","8","Strongly Agree","Strongly Agree","8","7"
1616,9,7,4,6,8,8,5,8,9,8,8,5,7,7,"English","Yes","Employed part-time","No certificate, diploma or degree","Single, never married, not living with a life partner",NA,"45 to 54","$20000 to $29999",0,"No","Strongly Agree","7","4","6","8","8","5","8","Strongly Agree","8","8","5"
1617,6,7,4,5,7,8,3,8,9,9,5,8,7,4,"English",NA,"Not employed","College diploma","Divorced, not living with a life partner","Male","24 or younger","$40000 to $49999",0,"No","6","7","4","5","7","8","3","8","Strongly Agree","Strongly Agree","5","8"
1618,9,8,7,7,6,6,7,9,6,6,6,7,8,8,"English","Yes","Employed part-time","High school diploma or certificate","Single, never married, not living with a life partner","Male","65 to 74","$200,000 or more",1,"Yes","Strongly Agree","8","7","7","6","6","7","Strongly Agree","6","6","6","7"
1619,7,6,6,4,7,9,8,8,8,6,9,9,8,3,"English","No","Fully employed","Master's degree","Widowed","Male","55 to 64",NA,0,"No","7","6","6","4","7","Strongly Agree","8","8","8","6","Strongly Agree","Strongly Agree"
1620,8,7,4,6,9,9,9,9,9,9,7,9,9,5,"English","No","Not employed","trades certificate","Married","Male","65 to 74","$40000 to $49999",0,"No","8","7","4","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree"
1621,9,7,9,9,9,9,7,9,9,9,9,9,9,8,"English","No",NA,"College diploma","Married","Female","65 to 74","$30000 to $39999",1,"Yes","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1622,8,9,6,9,9,8,9,9,9,9,6,9,8,9,"English","No","Employed part-time","High school diploma or certificate","Single, never married, not living with a life partner","Male","25 to 34","$60000 to $69999",1,"Yes","8","Strongly Agree","6","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","Strongly Agree"
1623,6,5,2,6,9,9,9,8,9,7,6,9,6,9,"French","No","Not employed","No certificate, diploma or degree","Living common law","Male","65 to 74","$20000 to $29999",1,"Yes","6","5","2","6","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","7","6","Strongly Agree"
1624,9,9,6,9,9,9,9,9,9,9,9,9,9,9,"English","Yes","Employed part-time","Bachelor's degree","Living common law","Male","55 to 64","$150,000 to $174,999",1,"Yes","Strongly Agree","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1625,6,4,6,5,6,7,7,3,9,9,6,7,7,2,"English","No","Fully employed","College diploma","Living common law","Male","24 or younger","$100000 to $149999",0,"No","6","4","6","5","6","7","7","3","Strongly Agree","Strongly Agree","6","7"
1626,9,9,7,6,9,9,7,9,9,9,9,9,9,8,NA,"No","Not employed","Bachelor's degree","Living common law","Female","65 to 74","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","7","6","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1627,8,6,4,6,8,8,3,6,8,7,6,7,7,4,"English","No","Fully employed","High school diploma or certificate","Married","Female","24 or younger","$90000 to $99999",0,"No","8","6","4","6","8","8","3","6","8","7","6","7"
1628,8,6,6,8,9,8,7,9,8,9,9,9,9,9,NA,"No","Not employed","No certificate, diploma or degree","Married","Female","65 to 74","$80000 to $89999",0,"No","8","6","6","8","Strongly Agree","8","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
1629,9,7,6,5,9,8,6,5,6,8,8,7,7,8,"Spanish","No","Not employed","trades certificate","Married","Male","65 to 74","Less than $20,000",0,"No","Strongly Agree","7","6","5","Strongly Agree","8","6","5","6","8","8","7"
1630,9,5,6,7,9,9,8,9,7,7,8,7,5,9,NA,"Yes","Not employed","College diploma","Married","Male","85 to 94","$30000 to $39999",1,"Yes","Strongly Agree","5","6","7","Strongly Agree","Strongly Agree","8","Strongly Agree","7","7","8","7"
1631,8,9,6,7,9,8,9,9,9,9,9,9,9,9,"Spanish","Yes","Fully employed","Bachelor's degree","Married","Male","65 to 74","Less than $20,000",1,"Yes","8","Strongly Agree","6","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1632,9,8,8,6,5,5,6,8,6,8,8,9,7,9,"French","No","Employed part-time","College diploma","Married","Female","45 to 54",NA,0,"No","Strongly Agree","8","8","6","5","5","6","8","6","8","8","Strongly Agree"
1633,9,7,9,8,6,8,6,9,9,9,9,8,7,7,"French","No","Employed part-time",NA,"Divorced, not living with a life partner","Male","24 or younger","$40000 to $49999",0,"No","Strongly Agree","7","Strongly Agree","8","6","8","6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
1634,9,9,9,9,9,9,9,9,9,9,9,9,9,9,"English","Yes","Fully employed","High school diploma or certificate","Divorced, not living with a life partner","Female","55 to 64","$50000 to $59999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1635,9,9,8,8,9,9,6,8,9,9,9,8,9,8,"Spanish","Yes","Fully employed","High school diploma or certificate","Married",NA,"35 to 44","$80000 to $89999",1,"Yes","Strongly Agree","Strongly Agree","8","8","Strongly Agree","Strongly Agree","6","8","Strongly Agree","Strongly Agree","Strongly Agree","8"
1636,8,8,7,5,8,5,7,7,8,5,9,8,7,8,"English","No","Fully employed","trades certificate","Married","Male","55 to 64","$60000 to $69999",1,"Yes","8","8","7","5","8","5","7","7","8","5","Strongly Agree","8"
1637,9,5,6,8,8,7,7,8,9,9,9,7,7,9,"English","No",NA,"Bachelor's degree","Married","Male","25 to 34","$100000 to $149999",0,"No","Strongly Agree","5","6","8","8","7","7","8","Strongly Agree","Strongly Agree","Strongly Agree","7"
1638,7,5,7,6,8,9,7,7,6,8,6,6,7,8,"Spanish","Yes","Not employed","High school diploma or certificate","Married","Female","65 to 74","$100000 to $149999",0,"No","7","5","7","6","8","Strongly Agree","7","7","6","8","6","6"
1639,9,5,8,5,5,5,7,8,9,9,9,9,9,8,"French","No","Employed part-time","Bachelor's degree","Single, never married, not living with a life partner","Male","45 to 54","$70000 to $79999",0,"No","Strongly Agree","5","8","5","5","5","7","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1640,9,9,9,9,9,6,8,8,9,9,9,9,7,9,"English","No","Employed part-time","College diploma","Living common law","Male","65 to 74","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1641,9,9,9,9,9,8,8,8,9,9,9,7,9,8,"English","No","Fully employed","University certificate above bachelor's degree","Widowed","Female","85 to 94",NA,1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","8","8","Strongly Agree","Strongly Agree","Strongly Agree","7"
1642,8,9,9,9,9,8,9,9,8,9,9,9,9,7,"English","No","Not employed","No certificate, diploma or degree","Married","Male","24 or younger","$40000 to $49999",1,"Yes","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree"
1643,9,9,9,7,9,9,9,9,9,9,9,9,9,9,"English","No","Not employed","College diploma","Married","Male","85 to 94","$100000 to $149999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1644,9,7,9,7,8,8,9,9,9,9,9,9,9,9,"Spanish","No","Not employed","No certificate, diploma or degree","Living common law","Male","24 or younger","$50000 to $59999",1,"Yes","Strongly Agree","7","Strongly Agree","7","8","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1645,7,9,9,7,8,9,8,8,9,7,8,9,8,9,"English","No","Not employed","No certificate, diploma or degree",NA,"Male","35 to 44","$50000 to $59999",1,"Yes","7","Strongly Agree","Strongly Agree","7","8","Strongly Agree","8","8","Strongly Agree","7","8","Strongly Agree"
1646,9,9,6,7,6,7,8,7,8,9,8,9,9,9,"English","No","Fully employed","College diploma","Married","Female","24 or younger","$50000 to $59999",0,"No","Strongly Agree","Strongly Agree","6","7","6","7","8","7","8","Strongly Agree","8","Strongly Agree"
1647,8,4,6,3,8,5,8,7,4,8,5,7,4,7,"English","No","Fully employed","trades certificate","Separated, not living with a life partner","Male","85 to 94","$30000 to $39999",0,"No","8","4","6","3","8","5","8","7","4","8","5","7"
1648,9,8,8,8,6,9,8,9,9,8,9,8,7,8,"English","No","Fully employed","High school diploma or certificate","Living common law","Male","24 or younger","$150,000 to $174,999",0,"No","Strongly Agree","8","8","8","6","Strongly Agree","8","Strongly Agree","Strongly Agree","8","Strongly Agree","8"
1649,7,8,6,4,7,7,5,9,8,4,4,5,9,5,"French",NA,"Not employed","No certificate, diploma or degree","Widowed","Male","45 to 54","$40000 to $49999",1,"Yes","7","8","6","4","7","7","5","Strongly Agree","8","4","4","5"
1650,8,4,4,7,9,9,9,8,9,9,9,9,9,7,NA,NA,"Fully employed","College diploma","Living common law","Female","85 to 94","$50000 to $59999",1,"Yes","8","4","4","7","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1651,9,6,9,9,7,9,9,9,9,6,9,9,7,7,"English","No","Fully employed","trades certificate","Married","Female","65 to 74","$30000 to $39999",0,"No","Strongly Agree","6","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","Strongly Agree","Strongly Agree"
1652,9,9,9,6,7,6,6,9,9,9,7,7,8,9,"English","No","Fully employed","Bachelor's degree","Living common law","Female","24 or younger","$150,000 to $174,999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","6","7","6","6","Strongly Agree","Strongly Agree","Strongly Agree","7","7"
1653,9,6,9,9,9,8,9,8,9,9,9,9,8,8,"French",NA,"Employed part-time","College diploma","Living common law","Female","65 to 74","$60000 to $69999",1,"Yes","Strongly Agree","6","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1654,9,6,5,3,5,5,5,4,9,7,6,5,5,6,"English","No","Not employed","No certificate, diploma or degree","Living common law","Female","25 to 34","$60000 to $69999",0,"No","Strongly Agree","6","5","3","5","5","5","4","Strongly Agree","7","6","5"
1655,9,6,7,7,7,4,8,6,8,5,9,8,9,7,"English","No","Fully employed","Master's degree","Married","Male","45 to 54","$40000 to $49999",1,"Yes","Strongly Agree","6","7","7","7","4","8","6","8","5","Strongly Agree","8"
1656,8,8,9,4,8,7,9,8,8,6,8,5,9,8,"English","Yes",NA,"College diploma","Living common law",NA,"55 to 64","$40000 to $49999",1,"Yes","8","8","Strongly Agree","4","8","7","Strongly Agree","8","8","6","8","5"
1657,8,8,8,9,9,7,6,8,7,8,9,5,7,8,NA,"No",NA,"High school diploma or certificate","Married","Male","85 to 94","$30000 to $39999",1,"Yes","8","8","8","Strongly Agree","Strongly Agree","7","6","8","7","8","Strongly Agree","5"
1658,8,5,6,2,4,7,6,4,7,5,2,7,5,4,"English","No","Not employed","College diploma","Living common law","Male","45 to 54","$30000 to $39999",0,"No","8","5","6","2","4","7","6","4","7","5","2","7"
1659,9,9,9,5,7,7,8,6,9,9,9,7,8,9,"English","No","Employed part-time","trades certificate",NA,"Male","24 or younger","$80000 to $89999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","5","7","7","8","6","Strongly Agree","Strongly Agree","Strongly Agree","7"
1660,8,7,5,7,9,8,9,9,8,8,9,8,8,5,"English","No","Employed part-time","University certificate below bachelor level","Married","Female","35 to 44","$20000 to $29999",0,"No","8","7","5","7","Strongly Agree","8","Strongly Agree","Strongly Agree","8","8","Strongly Agree","8"
1661,9,7,9,8,9,9,9,9,9,7,9,9,7,9,"English","No","Not employed","Bachelor's degree","Living common law","Female","45 to 54","$70000 to $79999",1,"Yes","Strongly Agree","7","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree"
1662,7,6,9,6,9,6,6,8,9,9,8,5,8,8,"English","No","Not employed","High school diploma or certificate","Single, never married, not living with a life partner","Male","45 to 54","$90000 to $99999",0,"No","7","6","Strongly Agree","6","Strongly Agree","6","6","8","Strongly Agree","Strongly Agree","8","5"
1663,9,9,9,9,8,7,9,9,9,9,9,8,9,9,"English","No","Not employed","Bachelor's degree","Married","Male","24 or younger","$30000 to $39999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","7","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8"
1664,6,9,5,5,8,7,8,7,9,9,7,9,5,5,"English","No","Fully employed","High school diploma or certificate","Married","Male","55 to 64","$60000 to $69999",0,"No","6","Strongly Agree","5","5","8","7","8","7","Strongly Agree","Strongly Agree","7","Strongly Agree"
1665,7,9,9,8,9,9,9,9,9,9,9,9,8,9,"Spanish","Yes","Not employed","High school diploma or certificate","Living common law","Male","45 to 54",NA,1,"Yes","7","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1666,7,7,8,6,7,8,5,6,8,8,9,9,9,5,"English","No","Employed part-time","trades certificate","Living common law","Male","65 to 74","$70000 to $79999",0,"No","7","7","8","6","7","8","5","6","8","8","Strongly Agree","Strongly Agree"
1667,9,7,7,8,9,9,9,8,9,9,9,9,9,6,"Spanish","No","Employed part-time","No certificate, diploma or degree","Separated, not living with a life partner","Male","45 to 54","$40000 to $49999",0,"No","Strongly Agree","7","7","8","Strongly Agree","Strongly Agree","Strongly Agree","8","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
1668,6,7,7,7,9,9,8,9,8,9,9,8,9,8,"English","Yes","Employed part-time","College diploma","Living common law","Male","35 to 44",NA,1,"Yes","6","7","7","7","Strongly Agree","Strongly Agree","8","Strongly Agree","8","Strongly Agree","Strongly Agree","8"
1669,9,9,7,6,7,9,7,9,9,7,9,8,9,8,"Spanish","Yes","Not employed","Bachelor's degree","Married","Male","65 to 74","$60000 to $69999",1,"Yes","Strongly Agree","Strongly Agree","7","6","7","Strongly Agree","7","Strongly Agree","Strongly Agree","7","Strongly Agree","8"
1670,8,9,7,8,7,7,3,7,9,9,9,6,9,7,"English","Yes","Employed part-time","College diploma","Married","Female","35 to 44","$175,000 to $199,999,",0,"No","8","Strongly Agree","7","8","7","7","3","7","Strongly Agree","Strongly Agree","Strongly Agree","6"
1671,6,7,3,5,9,9,7,9,7,9,8,8,5,7,"French","Yes","Employed part-time",NA,NA,NA,"65 to 74","$50000 to $59999",0,"No","6","7","3","5","Strongly Agree","Strongly Agree","7","Strongly Agree","7","Strongly Agree","8","8"
1672,9,9,9,9,8,8,8,9,9,7,9,9,9,9,"Spanish","No","Fully employed","Bachelor's degree","Married","Male","55 to 64","$30000 to $39999",0,"No","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","8","8","8","Strongly Agree","Strongly Agree","7","Strongly Agree","Strongly Agree"
1673,8,8,6,8,9,9,8,9,6,5,9,6,8,6,"English","Yes","Fully employed","Bachelor's degree","Living common law","Male","24 or younger","$40000 to $49999",1,"Yes","8","8","6","8","Strongly Agree","Strongly Agree","8","Strongly Agree","6","5","Strongly Agree","6"
1674,9,9,9,9,7,8,6,8,6,9,9,5,8,7,"English","No","Employed part-time","No certificate, diploma or degree","Divorced, not living with a life partner","Female","55 to 64","$40000 to $49999",1,"Yes","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","8","6","8","6","Strongly Agree","Strongly Agree","5"
